Restaurant Name,Item Name,Quantity,Price,Subtotal,Delivery Fee,Taxes & Other Fees,Total
Burger King,Original Chicken Sandwich,1,$8.79,$27.06,$0.00,$8.24,$35.30
Burger King,French Fries,1,$5.19,$27.06,$0.00,$8.24,$35.30
Burger King,Whopper,1,$9.29,$27.06,$0.00,$8.24,$35.30
Burger King,Coca-Cola,1,$3.79,$27.06,$0.00,$8.24,$35.30
IHOP,Cinnamon Dippers,1,$9.59,$33.93,$0.00,$9.97,$43.90
IHOP,New Caramel Apple Lemonade,1,$7.55,$33.93,$0.00,$9.97,$43.90
IHOP,Original Buttermilk Pancakes - (Full Stack),1,$16.79,$33.93,$0.00,$9.97,$43.90
Insomnia Cookies,Deluxe 4-pack,1,$23.25,$31.50,$3.99,$6.63,$42.12
Insomnia Cookies,Ice Cream in a Cup,1,$8.25,$31.50,$3.99,$6.63,$42.12
KFC,8 pc. Chicken Only,1,$26.63,$36.81,$0.00,$8.28,$45.09
KFC,Spicy Chicken Sandwich,1,$6.59,$36.81,$0.00,$8.28,$45.09
KFC,Pepsi,1,$3.59,$36.81,$0.00,$8.28,$45.09
McDonald's,French Fries,1,$5.19,$26.66,$0.00,$8.15,$34.81
McDonald's,10 pc. Chicken McNuggets®,1,$8.19,$26.66,$0.00,$8.15,$34.81
McDonald's,Iced Coffee,1,$4.69,$26.66,$0.00,$8.15,$34.81
McDonald's,Big Mac®,1,$8.59,$26.66,$0.00,$8.15,$34.81
Panda Express,Plate,1,$19.30,$49.85,$0.00,$13.98,$63.83
Panda Express,Bowl,1,$15.55,$49.85,$0.00,$13.98,$63.83
Panda Express,Honey Sesame Chicken Breast,1,$6.75,$49.85,$0.00,$13.98,$63.83
Panda Express,Super Greens,1,$5.75,$49.85,$0.00,$13.98,$63.83
Panda Express,Veggie Spring Roll,1,$2.50,$49.85,$0.00,$13.98,$63.83
Starbucks,Caffè Latte,1,$6.15,$33.30,$0.00,$9.82,$43.12
Starbucks,Cappuccino,1,$6.15,$33.30,$0.00,$9.82,$43.12
Starbucks,Caramel Macchiato,1,$6.95,$33.30,$0.00,$9.82,$43.12
Starbucks,Chocolate Cake Pop,1,$4.75,$33.30,$0.00,$9.82,$43.12
Starbucks,Double Chocolate Brownie,1,$5.15,$33.30,$0.00,$9.82,$43.12
Starbucks,Hot Chocolate,1,$4.15,$33.30,$0.00,$9.82,$43.12
Subway ,Pepsi®,1,$2.89,$23.86,$0.00,$7.44,$31.30
Subway ,Double Chocolate,1,$1.19,$23.86,$0.00,$7.44,$31.30
Subway ,Steak & Cheese,1,$9.89,$23.86,$0.00,$7.44,$31.30
Subway ,Grilled Chicken,1,$9.89,$23.86,$0.00,$7.44,$31.30
Taco Bell ,Crunchwrap Supreme®,1,$8.52,$23.10,$0.00,$5.20,$28.30
Taco Bell ,Grilled Cheese Burrito,1,$7.30,$23.10,$0.00,$5.20,$28.30
Taco Bell ,MTN DEW® Baja Blast®,1,$3.64,$23.10,$0.00,$5.20,$28.30
Taco Bell ,Cinnabon Delights® 2 Pack,1,$3.64,$23.10,$0.00,$5.20,$28.30
Wendy's,Parmesan Caesar Salad,1,$9.89,$26.86,$0.00,$8.20,$35.06
Wendy's,French Fries,1,$3.69,$26.86,$0.00,$8.20,$35.06
Wendy's,Dave's Double®,1,$9.39,$26.86,$0.00,$8.20,$35.06
Wendy's,6 PC. Spicy Chicken Nuggets,1,$3.89,$26.86,$0.00,$8.20,$35.06
