Item Name,Price,Time of Day
•,$,morning
"2919 W Capitol Ave, West Sacramento, CA 95691",$0 delivery fee,morning
Pepperoni,$10.99,morning
Pikes Peak,$18.99,morning
The Everest,$18.99,morning
Buffalo Wings,$9.34,morning
Garlic Not-Knots™,$8.07,morning
Chicken Club,$18.99,morning
BBQ Boneless Wings,$10.09,morning
Create your own,$10.99,morning
Garden Salad,$9.08,morning
Mix & Match 4-Pack,$5.05,morning
Mountain Fries,$9.08,morning
Garlic Sticks with Cheese,$9.76,morning
Mt. Veggiemore,$18.99,morning
Stingin’ Honey Wings,$9.34,morning
The McKinley,$18.99,morning
Robbers Roost With White Sauce,$18.99,morning
Pineapple Chicken Luau,$18.99,morning
Chef's Salad,$7.99,morning
Cheese,$10.99,morning
Garlic Bread with Cheese,$5.54,morning
Create your own,$10.99,morning
The Everest,$18.99,morning
The McKinley,$18.99,morning
Chicken Club,$18.99,morning
Pineapple Chicken Luau,$18.99,morning
Snowy Alps,$18.99,morning
Robbers Roost With White Sauce,$18.99,morning
Robbers Roost With Classic Red Sauce,$18.99,morning
Mt. Veggiemore,$18.99,morning
Pikes Peak,$18.99,morning
Garlic Tuscan,$18.99,morning
Sizzlin' Bacon Classic,$18.99,morning
BBQ At The Ranch,$18.99,morning
Pepperoni,$10.99,morning
Cheese,$10.99,morning
Spicy Himalayan Pizza,$18.99,morning
Vegetarian Spicy Himalayan Pizza,$18.99,morning
Hilo,$18.99,morning
Half Dome,$10.59,morning
Cliff Hanger,$10.49,morning
Mozzarella Sticks,$10.09,morning
Garlic Sticks with Cheese,$9.76,morning
Garlic Bread with Cheese,$5.54,morning
Mountain Fries,$9.08,morning
Loaded Mountain Fries,$12.11,morning
Garlic Not-Knots™,$8.07,morning
Garden Salad,$9.08,morning
Chef's Salad,$7.99,morning
Antipasto Salad,$8.99,morning
Create Your Own Salad,$9.34,morning
Pepsi,$4.03,morning
Diet Pepsi,$4.03,morning
Mtn Dew,$4.03,morning
Orange Crush,$4.33,morning
Rootbeer,$4.03,morning
Dr Pepper,$4.03,morning
Aquafina,$4.03,morning
Mix & Match 4-Pack,$5.05,morning
Dole Lemonade,$4.03,morning
Starry,$2.29,morning
Gatorade,$4.03,morning
Mini Churrs,$10.09,morning
Pizza Cookie,$10.09,morning
Apple of My Pie,$9.08,morning
Sweetheart Cherry Pie Dessert Pizza,$11.10,morning
Side Creme Anglaise,$0.99,morning
Side Ranch,$0.61,morning
Chips,$0.51,morning
Side Blue Cheese,$0.61,morning
Side Anchovies,$0.61,morning
Side Pizza Sauce,$0.61,morning
Side Buffalo Sauce,$0.61,morning
Side Pineapple,$0.61,morning
Side 1000 Island,$0.61,morning
Stingin’ Honey Wings,$9.34,morning
Buffalo Wings,$9.34,morning
Plain Wings,$9.34,morning
BBQ Wings,$9.34,morning
Plain Boneless Wings,$10.09,morning
Buffalo Boneless Wings,$10.09,morning
BBQ Boneless Wings,$10.09,morning
Stingin’ Honey Boneless Wings,$10.09,morning
Zesty Aloha Wings,$9.34,morning
Zesty Aloha Boneless Wings,$10.09,morning
Sticky Kogi Wings,$9.34,morning
Kickin’ Korean BBQ Wings,$9.34,morning
Kickin’ Korean BBQ Boneless Wings,$10.09,morning
Sticky Kogi Boneless Wings,$10.09,morning
